name,posteam,c,window,type,mix
avg_epa,ARI,0.3463568786714657,18,t,18_t
avg_epa,ATL,0.36124330331516646,16,t,16_t
avg_epa,BAL,0.15444833497358726,5,t,5_t
avg_epa,BUF,0.3516626792576199,8,s,8_s
avg_epa,CAR,0.10973567220581104,14,t,14_t
avg_epa,CHI,0.12086990175071072,8,t,8_t
avg_epa,CIN,0.20065918863415944,20,t,20_t
avg_epa,CLE,0.18808466662199214,20,r,20_r
avg_epa,DAL,0.17232303355332748,20,m,20_m
avg_epa,DEN,0.2150444112685982,13,s,13_s
avg_epa,DET,0.14768855481997437,5,t,5_t
avg_epa,GB,0.20282543219806579,8,t,8_t
avg_epa,HOU,0.10390299466101949,6,w,6_w
avg_epa,IND,0.18640634492463384,8,t,8_t
avg_epa,JAX,0.18779590492437254,5,t,5_t
avg_epa,KC,0.07530058354002389,20,m,20_m
avg_epa,LA,0.21201336866203904,6,s,6_s
avg_epa,LAC,0.13339877712070303,5,s,5_s
avg_epa,LV,0.22810650323232146,20,t,20_t
avg_epa,MIA,0.179051954342818,8,s,8_s
avg_epa,MIN,0.23875135273135623,18,t,18_t
avg_epa,NE,0.18038283709257288,19,s,19_s
avg_epa,NO,0.19490733838255547,6,t,6_t
avg_epa,NYG,0.10716360958331042,8,t,8_t
avg_epa,NYJ,0.15287994195815738,20,t,20_t
avg_epa,PHI,0.3417323443843096,7,s,7_s
avg_epa,PIT,0.208922701214035,20,m,20_m
avg_epa,SEA,0.12720770077219928,5,e,5_e
avg_epa,SF,0.2987574188822558,20,s,20_s
avg_epa,TB,0.17717611238882516,12,s,12_s
avg_epa,TEN,0.09677750149216467,5,w,5_w
avg_epa,WAS,0.1781161705197579,7,s,7_s
avg_epa_allowed,ARI,0.3292354171769047,20,m,20_m
avg_epa_allowed,ATL,0.3278418021358409,20,m,20_m
avg_epa_allowed,BAL,0.11745593826895524,5,t,5_t
avg_epa_allowed,BUF,0.21044588954987223,20,t,20_t
avg_epa_allowed,CAR,0.1086780049103048,12,s,12_s
avg_epa_allowed,CHI,0.2598353712878206,12,t,12_t
avg_epa_allowed,CIN,0.25029551999919203,5,t,5_t
avg_epa_allowed,CLE,0.11305326286695018,18,t,18_t
avg_epa_allowed,DAL,0.13191593941858806,10,t,10_t
avg_epa_allowed,DEN,0.29851181521587333,20,m,20_m
avg_epa_allowed,DET,0.14286970212139716,17,w,17_w
avg_epa_allowed,GB,0.20528235117551266,12,s,12_s
