id_game,id_posteam,id_defteam,id_season,id_week,outcome_sr,pass_success,rush_success,epa,sr,drive_wpa,drive_points_oe,qb_eloa,points,cushion,separation,intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,yac,expected_yac,yac_above_expectation,team_wp,team_eloa,team_points_result,qb_elo,qb_starts,qb_pacr,qb_dakota,qb_rushing_epa,qb_cpoe,pos_like_res,era
2017_10_CIN_TEN,TEN,CIN,2017,10,0.4507070707070707,53.94852526279612,46.18329483758392,-2.757090157748936,51.08152604177586,0.035430753099064655,130.57290836772057,-205.19973945050327,2710.8851068899394,722.1362699545164,287.4913244938854,1290.6170488487946,3742.7920187257864,6742.7418668167475,433.14485039268624,432.50721426935945,0.6376361233268018,-4.807982156087174,526.8099583997381,82.59892631952843,168.10293908991,34,24.17324487068156,3.714613724536625,0.11734911031742393,11.880263814474155,3.9946908012820517,4
2017_11_TEN_PIT,TEN,PIT,2017,11,0.48365384615384616,53.7357956450865,44.190997573998274,-5.110950344637576,50.77006624127394,-1.0768680331985245,121.86168739877212,-419.0171960538123,2719.1788592787843,799.7546507561883,353.617423738164,1289.6967373202758,3493.321557332666,7683.595343192765,468.1435203064341,454.6262802686739,13.51724003776027,-0.7647476375290196,269.1507255094839,-47.26668568386353,165.64412502891,35,24.40631787577494,3.2860317390540006,0.4804003562892111,-22.20851269451082,4.65736853480638,4
2017_12_TEN_IND,TEN,IND,2017,12,0.4316949152542373,60.28892263772882,46.86914371255294,3.3488780133576608,55.57607628567317,1.0214366823147638,162.5831698523413,36.31581218806505,2992.0252508634458,741.9709806073556,315.86950032347266,1378.3166747228702,3492.8039453923984,6941.761780940989,505.60196682973026,503.22368256961965,2.378284260110627,-3.973787250393894,242.15968924428273,76.56153104795912,151.53871680816,36,24.127795303955512,3.0022721448976233,0.6369322985330541,-39.473446681218405,3.906376623471441,4
2017_13_HOU_TEN,TEN,HOU,2017,13,0.5224137931034483,55.57272583488354,45.99782394011807,-8.960549363073852,52.74108906653208,0.24881458455856661,126.07710422486949,-218.24784204741195,2894.448400766206,813.0811292927972,316.7810538368159,1456.8354024737348,3840.6292885521902,7222.059553048981,491.8064778616807,464.7906960691882,27.015781792492596,1.2711520166966679,627.4606040088536,197.54830945676792,144.62326561716,37,23.334663302583333,2.6429365881199933,0.9699430375878394,-51.08485571951528,4.5800301975955104,4
2017_14_TEN_ARI,TEN,ARI,2017,14,0.39705882352941174,54.03301835235068,44.04694611116284,-4.456126862091462,50.780333339508914,0.3274165357319102,140.11194091432998,-107.53840296617113,3006.3438354061636,784.0624897616065,312.077498838741,1282.1241735499366,3541.19001549145,7040.335944873779,505.2972223092267,465.4697157411173,39.827506568109435,-1.0417262231913078,734.2799577762007,88.79088443523119,147.94566313461,38,22.122883602012475,2.275203106624638,0.9395960443317896,-105.37632140455155,3.556797162360266,4
2017_15_TEN_SF,TEN,SF,2017,15,0.4927536231884058,57.81788870473141,47.72984223201147,0.6107549771987153,53.59984869455816,0.29287113389770403,152.0908138314062,-180.25454709501238,3036.993324697141,719.1571639855185,301.9784760291569,1412.3464540413333,3725.4124658182536,7160.464745006173,494.7068048533166,434.49920114434326,68.72119186968149,7.689465805643412,137.54630678462664,416.9995000685668,125.2389641283,39,22.636457782901335,2.425928543952863,0.7948891133239188,-109.33900475936761,3.1078202716039636,4
2017_16_LA_TEN,TEN,LA,2017,16,0.3890909090909091,51.04330076459047,43.81283620155547,-11.066062303664825,48.7884095238405,-0.27555295091974297,121.46921403729004,-655.4371385228849,2605.3701754057697,779.091998126873,314.81194089662733,1373.10106366343,3620.3514332561563,6865.882843938683,471.8118574102998,452.67531695515584,19.13654045514401,-9.015574246152866,-698.8158488209015,-201.4408729200852,137.45215310178,40,24.344997135181128,2.616331584850013,0.8497898285291163,-90.2961447198678,4.043609609078084,4
2017_18_TEN_KC,TEN,KC,2017,18,0.6007246376811595,56.26998137780228,48.941641329972015,-1.0896710465052875,53.252470714287156,0.9481762496515086,156.02717408707522,-111.10598648607645,2775.711663236576,714.1912877164777,296.59133598101823,1377.1701965050738,3478.8448257135933,6947.124297272082,511.1568323316088,446.7425626388199,64.41426969278895,-6.276286348223643,-9.765210079584762,-205.67238732884232,142.50908502039,42,24.670067508273974,2.8232157494638184,0.6065406436696654,-82.41641884381087,1.7750819476833675,4
2017_19_TEN_NE,TEN,NE,2017,19,0.3558823529411765,61.764608666625406,51.29001026590875,3.7610149423587247,58.10508169898016,1.0599004946284736,166.27523044793423,128.13019461940527,2855.4892335699333,712.8439535168535,338.93878068380053,1318.8778966681339,3433.501850825119,7791.142790300417,540.1576090825927,483.6495218562819,56.508087226310785,-14.749360555001573,75.86588928489567,-706.2376826689854,147.19011401292,43,24.27726661604775,2.773711902258613,0.6604310709362229,-62.48542664284023,1.7750819476833675,4
2018_01_TEN_MIA,TEN,MIA,2018,1,0.44846153846153847,57.134528334936505,40.44015884092893,-0.9383248251401672,50.99193086945377,0.5141116145469495,145.98220176737203,64.08606097351006,2865.724299243653,710.9644220220916,319.5920141768844,1262.2684941683835,3508.923376490269,7488.301382199171,472.4812181070649,456.79257217311556,15.68864593394936,3.6840931441680134,225.91556481668957,163.69181334054875,0,12,21.88942144442313,0.14313698810545797,1.0212603406835115,-247.2264870914187,1.4308377598531052,4
